ID,Müşteri Talebi,Banka Yanıtı
854,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
855,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
856,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
857,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
858,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
859,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
860,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
861,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
862,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
863,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
864,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
865,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
866,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
867,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
868,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
869,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
870,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
871,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
872,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
873,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
874,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
875,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
876,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
877,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
878,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
879,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
880,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
881,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
882,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
883,"Ödemem iki kez çekildi, nasıl iade alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
884,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
885,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
886,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
887,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
888,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
889,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
890,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
891,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
892,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
893,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
894,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
895,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
896,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
897,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
898,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
899,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
900,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
901,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
902,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
903,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
904,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
905,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
906,Dijital bankacılık uygulamanızda bir hata alıyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
907,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
908,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
909,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
910,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
911,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
912,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
913,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
914,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
915,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
916,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
917,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
918,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
919,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
920,Kredi kartı limitimi nasıl artırırım?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
921,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
922,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
923,"Ödemem iki kez çekildi, nasıl iade alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
924,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
925,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
926,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
927,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
928,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
929,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
930,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
931,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
932,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
933,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
934,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
935,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
936,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
937,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
938,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
939,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
940,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
941,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
942,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
943,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
944,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
945,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
946,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
947,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
948,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
949,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
950,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
951,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
952,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
953,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
954,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
955,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
956,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
957,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
958,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
959,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
960,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
961,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
962,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
963,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
964,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
965,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
966,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
967,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
968,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
969,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
970,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
971,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
972,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
973,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
974,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
975,Dijital bankacılık uygulamanızda bir hata alıyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
976,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
977,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
978,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
979,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
980,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
981,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
982,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
983,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
984,"Ödemem iki kez çekildi, nasıl iade alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
985,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
986,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
987,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
988,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
989,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
990,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
991,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
992,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
993,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
994,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
995,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
996,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
997,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
998,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
999,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
1000,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
